seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_rate_pct,avg_delay_days,composite_score,performance_tier,perf_rank,perf_quartile
7238a95bb63ef7e498389fb863b834a1,SP,15,2265.7,4.73,0.0,-9.5,72.1,Good,55,1
f1fd5ab1181f827ffad998c1a5de7d74,PR,15,7045.99,4.67,0.0,-12.9,72.0,Good,57,1
f0e103c63864d5405b958d984b6e94c9,SP,11,951.7,4.73,0.0,-12.0,72.0,Good,57,1
83e197e95a1bbabc8c75e883ed016c47,RJ,46,6574.19,4.8,2.2,-14.2,72.0,Good,57,1
33cbbec1e7e1044aaf11d152172c776f,RS,15,730.67,4.73,0.0,-16.2,72.0,Good,57,1
d566c37fa119d5e66c4e9052e83ee4ea,SP,64,5077.8,4.68,0.0,-10.7,71.9,Good,61,1
6061155addc1e54b4cfb51c1c2a32ad8,SP,27,15614.4,4.78,3.7,-9.0,71.9,Good,61,1
0eaa7e33d73809f1f925f7d07c506cbd,SP,15,1552.0,4.71,0.0,-14.8,71.8,Good,63,1
dfc475d54e1b6dbeeb7d7d9bdaa63827,PR,17,1691.47,4.71,0.0,-14.8,71.8,Good,63,1
744dac408745240a2c2528fb1b6028f3,PR,78,22561.6,4.58,1.3,-16.8,71.8,Good,63,1
3785b653b1b82de85ab47dd139938091,PR,21,1676.99,4.71,0.0,-18.3,71.8,Good,63,1
013900e863eace745d3ec7614cab5b1a,PR,23,1619.7,4.7,0.0,-15.5,71.7,Good,67,1
671585f5a2af58b6e276bc01003c0d2b,PR,27,1244.0,4.7,0.0,-14.0,71.7,Good,67,1
37be5a7c751166fbc5f8ccba4119e043,SP,269,54735.55,4.32,2.6,-13.5,71.6,Good,69,1
89a51f50b8095ea78d5768f34c13a76f,DF,10,677.16,4.7,0.0,-13.2,71.6,Good,69,1
3c010235b7345c92f125d14ee232a76b,PR,15,3578.0,4.67,0.0,-9.1,71.6,Good,69,1
3ca08eeb8d5595949fed424bd3677742,PR,13,1688.88,4.69,0.0,-14.4,71.6,Good,69,1
1f50f920176fa81dab994f9023523100,SP,1384,107302.29,4.16,9.0,-10.3,71.6,Good,69,1
2c4c47cb51acd5ea5db5e0ae0e26542a,SP,12,2595.89,4.67,0.0,-13.9,71.5,Good,74,1
638cba8be1fb599bbb76fd6948351eb3,SP,16,535.4,4.69,0.0,-11.3,71.5,Good,74,1
82cb9f452fe8334df74b22d37824b431,RS,13,757.7,4.69,0.0,-19.0,71.5,Good,74,1
d921b68bf747894be13a97ae52b0f386,MG,76,15422.8,4.61,1.3,-15.9,71.4,Good,77,1
02f5837340d7eb4f653d676c7256523a,PR,30,3883.05,4.83,3.3,-17.3,71.4,Good,77,1
080199a181c46c657dc5aa235411be3b,SP,78,14324.71,4.61,1.3,-9.5,71.3,Good,79,1
f4a04f7be452aa3bb31760bf00055dd0,SP,18,1312.1,4.67,0.0,-19.9,71.3,Good,79,1
26785a546900236d66f2e4197c211158,SP,15,1019.2,4.67,0.0,-18.7,71.3,Good,79,1
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,183,72745.62,4.34,6.6,-16.9,71.3,Good,79,1
26d6bbee02420494d471c9f6436929c0,PR,12,434.51,4.67,0.0,-10.8,71.3,Good,79,1
6b15924333bd1a741595fe981ea04822,SP,21,639.22,4.67,0.0,-11.3,71.3,Good,79,1
caa9bc43a9fe8cf9c564ddd8a03cc4a6,SP,13,803.87,4.67,0.0,-11.7,71.3,Good,79,1
41da412d33e8da4f22baf55cb1bde82c,ES,15,862.9,4.67,0.0,-18.9,71.3,Good,79,1
02ecc2a19303f05e59ce133fd923fff7,SP,21,5361.19,4.62,0.0,-15.0,71.2,Good,87,1
5a93f3ab0ef4c84ed5e1b5dbf23978bc,SP,38,2299.28,4.79,2.6,-18.8,71.2,Good,87,1
31561f325664a8a7aba4c8d0c3a9b3db,SP,36,2776.18,4.64,0.0,-9.5,71.2,Good,87,1
72bc2cce903c872fe376a8faaa81d237,SP,17,2149.2,4.65,0.0,-8.2,71.2,Good,87,1
960945e1a9535cbc0cd6ddd35fbe7ae8,SP,28,3441.53,4.64,0.0,-10.3,71.2,Good,87,1
512d298ac2a96d1931b6bd30aa21f61d,RJ,10,7352.04,4.6,0.0,-16.5,71.2,Good,87,1
cc3d14116804f7209f3884f6367f1152,PR,26,5437.8,4.62,0.0,-17.3,71.2,Good,87,1
42ef3192a9ff87a22d1867b74b3ee205,SP,23,1354.09,4.65,0.0,-11.0,71.1,Good,94,1
eeb6de78f79159600292e314a77cbd18,SC,82,43510.84,4.44,3.7,-16.9,71.1,Good,94,1
f67efa3f0b6761102a7f8c6b7b571f5d,PR,30,5138.68,4.6,0.0,-17.6,71.0,Good,96,1
c72de06d72748d1a0dfb2125be43ba63,BA,21,17522.0,4.48,0.0,-18.6,71.0,Good,96,1
7ff588a03c2aeae4fbd23f9ae64b760d,SP,14,1182.2,4.64,0.0,-9.7,71.0,Good,96,1
ac3508719a1d8f5b7614b798f70af136,RS,100,12410.14,4.64,2.0,-18.1,71.0,Good,96,1
718539d38d07dd351c76db862760e2e2,SP,35,1287.81,4.63,0.0,-14.0,70.9,Good,100,1
df91910b6a03bb2e3358fa6a35e32f6f,SP,13,2123.19,4.62,0.0,-13.3,70.9,Good,100,1
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,51,22448.2,4.43,0.0,-11.8,70.9,Good,100,1
c2d70ce2c5d0a2eb75e78668236e6dc8,SP,13,2470.9,4.62,0.0,-12.9,70.9,Good,100,1
6338ea67c41078a46ad99cc009654956,RS,36,2276.1,4.62,0.0,-15.9,70.9,Good,100,1
8daab2245ebdc277c51098d01c5ad8ef,SP,16,1604.59,4.62,0.0,-17.4,70.8,Good,105,1
e7f3bf1ecd8526eb7f3b18059e6716e5,SP,16,1282.14,4.62,0.0,-14.5,70.8,Good,105,1
de722cd6dad950a92b7d4f82673f8833,PE,337,55327.21,4.3,3.6,-15.5,70.8,Good,105,1
59417c56835dd8e2e72f91f809cd4092,SP,18,36459.0,4.28,0.0,-21.2,70.8,Good,105,1
679769a98cfcc6da877c8486ff1c13f3,MG,21,7029.0,4.57,0.0,-15.6,70.8,Good,105,1
b2a6d334e2833acea353624840e25a0e,SP,24,1626.08,4.62,0.0,-17.2,70.8,Good,105,1
289cdb325fb7e7f891c38608bf9e0962,SP,104,13080.55,4.61,1.9,-10.1,70.8,Good,105,1
0ebd97a106433a45a4aebe57c1799778,MG,30,3111.7,4.6,0.0,-17.0,70.7,Good,112,1
51e4e89242cbb846c2deff3dc015650e,RS,16,822.58,4.62,0.0,-16.0,70.7,Good,112,1
6a38087bc8ad4f89ff453561005f6dea,GO,15,1833.43,4.6,0.0,-12.8,70.6,Good,114,1
596849622429351f47b32e6cae1055ff,SP,11,1005.0,4.6,0.0,-8.8,70.5,Good,115,1
59cea8e446d3834393058e7e0666b6fb,PR,10,696.6,4.6,0.0,-16.5,70.5,Good,115,1
612170e34b97004b3ba37eae81836b4c,RS,107,23184.52,4.43,0.9,-18.4,70.5,Good,115,1
06bb3a2fe5e7b7a845b13e8fb91bd944,MG,17,1536.19,4.59,0.0,-13.8,70.5,Good,115,1
a5cba26a62b8b4d0145b68b841e62e7f,PR,53,14438.84,4.57,1.9,-14.8,70.5,Good,115,1
d1b65fc7debc3361ea86b5f14c68d2e2,SP,39,11413.17,4.64,2.6,-16.0,70.5,Good,115,1
8a2d12a90e92f012ce5226fc6592b653,PR,18,1660.65,4.59,0.0,-15.9,70.5,Good,115,1
8ae520247981aa06bc94abddf5f46d34,SC,65,16320.99,4.45,0.0,-16.4,70.5,Good,115,1
02c988090b766852e088c69d7fb3b551,SP,12,1564.37,4.58,0.0,-11.1,70.4,Good,123,1
916c9de0b5ad957346eeeb12f332687e,PR,22,5336.5,4.55,0.0,-18.0,70.4,Good,123,1
e49c26c3edfa46d227d5121a6b6e4d37,PE,34,3644.25,4.56,0.0,-19.6,70.4,Good,123,1
e2c92f9c1c7746d899d18f2e158bbff7,SP,12,1641.9,4.58,0.0,-10.1,70.4,Good,123,1
834f3294fba9f932f56edc879193f925,SP,65,39297.5,4.55,6.2,-9.6,70.3,Good,127,1
b347677812ea483b0f528eaf8cbc09b7,PR,21,7368.89,4.52,0.0,-17.0,70.3,Good,127,1
33a17d60c64393351ebf1ef860f4e0f2,RS,42,8001.51,4.64,2.4,-15.5,70.2,Good,129,1
6df688df543f90e9b38f4319e75a9d88,MG,39,1891.76,4.56,0.0,-15.4,70.2,Good,129,1
8602a61d680a10a82cceeeda0d99ea3d,SP,14,880.59,4.57,0.0,-11.1,70.2,Good,129,1
bc2ac6b95e1accce9858528ee566c17e,SP,18,2045.0,4.56,0.0,-10.1,70.2,Good,129,1
ade45994b717ccee333492330fbf037b,PR,10,7196.0,4.5,0.0,-25.2,70.1,Good,133,1
95ec4458365c4d11f452ccf538377619,SP,26,1919.06,4.76,3.8,-9.9,70.1,Good,133,1
bbf9ad41dca6603e614efcdad7aab8c4,CE,14,7846.0,4.5,0.0,-21.7,70.1,Good,133,1
2a5b78b41cd05baeac8df54c6606b92c,MG,46,15623.28,4.54,2.2,-19.4,70.1,Good,133,1
